2385,6771,4386,0.352237
2414,6702,4288,0.360191
2435,6809,4374,0.357615
2451,6751,4300,0.363057
2433,6781,4348,0.358797
2440,6717,4277,0.363257
2427,6657,4230,0.364579
2413,6722,4309,0.358971
2473,6713,4240,0.36839
2520,6921,4401,0.364109
2417,6721,4304,0.359619
2442,6697,4255,0.364641
2453,6744,4291,0.363731
2444,6763,4319,0.361378
2499,6858,4359,0.364392
2497,6734,4237,0.370805
2442,6851,4409,0.356444
2447,6762,4315,0.361875
2402,6954,4552,0.345413
2437,6755,4318,0.36077
2424,6728,4304,0.360285
2430,6705,4275,0.362416
2464,6736,4272,0.365796
2427,6804,4377,0.356702
2414,6864,4450,0.35169
2493,6822,4329,0.365435
2464,6722,4258,0.366558
2436,6744,4308,0.36121
2376,6793,4417,0.349772
2430,6885,4455,0.352941
2471,6879,4408,0.359209
2412,6792,4380,0.355124
2465,6943,4478,0.355034
2430,6915,4485,0.35141
2444,6868,4424,0.355853
2462,6756,4294,0.364417
2457,6817,4360,0.360422
2446,6854,4408,0.356872
2519,6928,4409,0.363597
2433,6866,4433,0.354355
2508,6950,4442,0.360863
2469,6911,4442,0.357257
2561,7010,4449,0.365335
2594,7001,4407,0.370519
2671,6997,4326,0.381735
2628,6993,4365,0.375804
2667,6961,4294,0.383135
2598,6981,4383,0.372153
2677,7005,4328,0.382156
2642,7014,4372,0.376675
2587,6932,4345,0.373197
2462,6900,4438,0.356812
2498,6824,4326,0.366061
2485,6826,4341,0.364049
2434,6804,4370,0.357731
2474,6880,4406,0.359593
2543,6829,4286,0.372382
2528,6979,4451,0.36223
2542,6930,4388,0.366811
2544,6998,4454,0.363532
2546,7055,4509,0.360879
2397,6843,4446,0.350285
2380,6770,4390,0.351551
2514,7020,4506,0.35812
2456,7016,4560,0.350057
2557,7059,4502,0.362233
2586,7055,4469,0.366549
2585,7118,4533,0.363164
2550,7057,4507,0.361343
2541,7093,4552,0.358241
2539,6946,4407,0.365534
2454,6828,4374,0.359402
2477,6832,4355,0.362559
2586,6690,4104,0.386547
2431,6460,4029,0.376316
2534,6264,3730,0.404534
2485,6214,3729,0.399903
2455,6201,3746,0.395904
2563,6407,3844,0.400031
2531,6468,3937,0.391311
2555,6442,3887,0.396616
2787,6945,4158,0.401296
2748,7034,4286,0.390674
2715,6963,4248,0.389918
2697,6734,4037,0.400505
2565,6276,3711,0.4087
2596,6268,3672,0.414167
2558,6153,3595,0.415732
2468,6143,3675,0.401758
2415,6361,3946,0.379657
2359,6492,4133,0.36337
2368,6513,4145,0.363581
2216,6199,3983,0.357477
2116,5893,3777,0.35907
2169,5990,3821,0.362103
2112,5960,3848,0.354362
2074,5941,3867,0.349099
1924,5498,3574,0.349945
1820,5261,3441,0.345942
1693,5166,3473,0.32772
1703,5284,3581,0.322294
1647,5202,3555,0.316609
1677,5166,3489,0.324623
1644,5116,3472,0.321345
1589,5015,3426,0.316849
1570,4860,3290,0.323045
1514,4747,3233,0.318938
1501,4737,3236,0.316867
1516,4937,3421,0.307069
1539,4868,3329,0.316146
1470,4693,3223,0.313232
1558,4735,3177,0.329039
1501,4819,3318,0.311475
1507,4776,3269,0.315536
1543,4780,3237,0.322803
1548,4956,3408,0.312349
1525,4878,3353,0.312628
1568,4809,3241,0.326055
1588,5072,3484,0.313091
1603,5056,3453,0.317049
1582,5095,3513,0.310501
1639,5070,3431,0.323274
1711,5201,3490,0.328975
1653,5062,3409,0.326551
1681,5208,3527,0.322773
1643,5082,3439,0.323298
1701,5247,3546,0.324185
1704,5156,3452,0.330489
1755,5171,3416,0.339393
1749,5199,3450,0.336411
1767,5140,3373,0.343774
1799,5282,3483,0.340591
1792,5367,3575,0.333892
1977,5357,3380,0.36905
1975,5472,3497,0.360928
2139,5724,3585,0.37369
2258,6067,3809,0.372177
2321,6275,3954,0.36988
2388,6620,4232,0.360725
2338,6682,4344,0.349895
2320,6797,4477,0.341327
2251,6636,4385,0.33921
2141,6125,3984,0.349551
2229,6133,3904,0.363444
2196,5964,3768,0.368209
2060,5788,3728,0.355909
1849,5462,3613,0.338521
1811,5407,3596,0.334936
1730,5239,3509,0.330216
1763,5201,3438,0.338973
1741,5184,3443,0.335841
1744,5234,3490,0.333206
1733,5080,3347,0.341142
1723,5213,3490,0.33052
1711,5096,3385,0.335754
1692,5174,3482,0.32702
1676,5232,3556,0.320336
1742,5205,3463,0.334678
1695,5114,3419,0.331443
1742,5190,3448,0.335645
1678,5044,3366,0.332672
1701,5181,3480,0.328315
1720,5180,3460,0.332046
1687,5200,3513,0.324423
1741,5316,3575,0.327502
1714,5136,3422,0.333723
1638,5141,3503,0.318615
1662,5095,3433,0.326202
1618,5097,3479,0.317442
1614,5017,3403,0.321706
1571,5061,3490,0.310413
1587,5128,3541,0.309477
1605,5170,3565,0.310445
1579,5026,3447,0.314166
1628,5018,3390,0.324432
