PETS1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
44,0.329,0.4166336832,0.3660134547,0.3757604452,0.3797487582,0.3577753529,0.3570931192
49,0.31,0.3957089323,0.3677146534,0.3680990628,0.3719200372,0.3586453249,0.3446920866
67,0.278,0.5796832611,0.5447720946,0.5512466443,0.5506335038,0.5366678294,0.5378831072
73,0.382,0.5697356427,0.5490583649,0.5471058103,0.5479031746,0.5390021991,0.531011045
77,0.28,0.3960160783,0.3734478573,0.3720570289,0.3868322309,0.3672528021,0.3425185388
82,0.311,0.4086887222,0.382100867,0.3805421203,0.381925746,0.3739981524,0.3589852206
85,0.324,0.4175818669,0.3989388227,0.3959094634,0.4003074361,0.3924924053,0.3686635945
91,0.315,0.4250471802,0.4094098766,0.4069225667,0.4127506945,0.4038919024,0.3776791616
107,0.297,0.2817885684,0.2690957039,0.2608976968,0.2728051462,0.2645705623,0.2322804833
124,0.329,0.3767627789,0.3405159498,0.341547552,0.3525334819,0.3313814963,0.3234466475
139,0.304,0.5589527461,0.4885412646,0.5038087945,0.5175099491,0.4745836715,0.4985715924
167,0.334,0.4275112008,0.3948059331,0.3845310836,0.3957668775,0.3861898509,0.3656320498
,,0.1985540659,0.2267703534,0.2021748353,0.1896175839,0.2221548898,0.2046326852
PETs2,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
9,0.591,0.6037517131,0.5284546401,0.5464898954,0.5552779166,0.5064393767,0.5408211829
19,0.639,0.5154479758,0.466709604,0.4764196113,0.4855712503,0.4328254848,0.4757781351
29,0.499,0.5222504818,0.4395894235,0.4444049418,0.460857102,0.4072258149,0.4470252703
54,0.448,0.2945412667,0.2833262502,0.2818449571,0.2811950791,0.2798987886,0.2553215392
77,0.442,0.2970858846,0.2832171199,0.2762011297,0.2817655429,0.2785755873,0.2479562208
78,0.471,0.3324213907,0.3166711528,0.3116284143,0.3149219466,0.3129420306,0.284656178
81,0.391,0.3524328439,0.3454171776,0.3473886793,0.3657055924,0.34553295,0.3116808637
84,0.356,0.3522019667,0.3439877816,0.3427968106,0.3607711845,0.3433358511,0.3071941805
88,0.498,0.3201567487,0.2991584672,0.2965475929,0.2992963543,0.2944510696,0.2687702418
115,0.73,0.4965489846,0.471198021,0.4714557138,0.4752671001,0.4627016222,0.4486779704
177,0.454,0.4441917487,0.4038022015,0.411048997,0.415734728,0.3962907189,0.3894854508
,,0.6705816077,0.7057667571,0.6896919047,0.6532729231,0.6957362604,0.6945302273
aton_highway1,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
45,0.233,0.3264837052,0.3164406753,0.3164186472,0.3170989254,0.3130939,0.2745065744
65,0.311,0.3610981718,0.3478756971,0.3501645774,0.3516211493,0.3456918157,0.3201229272
85,0.214,0.3324899172,0.3281410481,0.327783951,0.3290848479,0.3257965726,0.2830015141
105,0.265,0.3285010824,0.3095927308,0.3096607976,0.3133853135,0.3066149101,0.2733181368
125,0.258,0.3616741172,0.3520568924,0.352165997,0.3530861495,0.3498044593,0.3174976108
145,0.275,0.3459644971,0.3324667035,0.335672974,0.3391704569,0.3289159916,0.2982599514
165,0.249,0.3335924234,0.3233577468,0.3229692501,0.3232135181,0.3202254387,0.2817369647
185,0.24,0.3324644928,0.3225140616,0.3226347645,0.3238362943,0.3199252655,0.2809628033
,,0.683685054,0.4771690254,0.5235779189,0.5604481428,0.4707739954,0.6694458799
aton_highway3,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
101,0.468,0.6328072596,0.5708707492,0.5876545531,0.5826487211,0.5660366679,0.5788812541
201,0.325,0.6347594262,0.5792031323,0.5948946144,0.588595376,0.5742407102,0.5862833155
301,0.465,0.6892986386,0.6267941984,0.6427313511,0.6418073294,0.6227503145,0.6353805294
501,0.37,0.6369670178,0.5329183676,0.5757582736,0.5855178027,0.5156526358,0.5816117625
601,0.745,0.6851192107,0.636845323,0.6486177955,0.6460824789,0.6336171938,0.6392431361
801,0.361,0.5575876528,0.496302546,0.5144191693,0.5065779142,0.4909035571,0.5040983193
1401,0.73,0.7207155264,0.6856970453,0.6940684907,0.6941070313,0.6847673503,0.6863041151
,,0.7424117824,0.8141308312,0.7946054861,0.7801949863,0.8158763583,0.7732651826
aton_room,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
85,0.751,0.6774241624,0.656887797,0.6606372507,0.6622779713,0.6561034019,0.639100147
95,0.745,0.4820485134,0.4610908487,0.4672045749,0.4701236425,0.460042968,0.4353561431
105,0.662,0.3934018639,0.3763430743,0.3820906472,0.3857369891,0.3750529762,0.351343185
115,0.634,0.3297272167,0.3069735174,0.3137628957,0.3197574959,0.3047052586,0.2855902579
125,0.824,0.3484089903,0.3209304415,0.3272818912,0.3324114456,0.3188816184,0.2995339252
135,0.887,0.4594553616,0.4236534176,0.4325895677,0.4412887396,0.4201839565,0.4058853374
145,0.77,0.5223568742,0.4944375773,0.501655463,0.5084039167,0.4922107646,0.4736799723
155,0.754,0.4317975733,0.4086670099,0.4146401131,0.4207921834,0.4062150909,0.3852762816
165,0.674,0.4152030758,0.3899851806,0.3964132529,0.4022493785,0.3883585637,0.3680015309
175,0.689,0.4167604378,0.3869414983,0.3949805867,0.4020100503,0.3848773973,0.3676727418
185,0.712,0.2834507292,0.2582244487,0.2641003159,0.2694843955,0.2559921359,0.2410138005
195,0.719,0.2312256346,0.2128683154,0.2168501219,0.2196773818,0.2112391925,0.1954751414
205,0.655,0.2336989163,0.2049587725,0.2115045801,0.2171100053,0.2021615109,0.1916916984
215,0.545,0.2650066649,0.2355529488,0.2424700913,0.2485311807,0.2325570579,0.2200587997
225,0.674,0.3040474801,0.2845427824,0.2913235118,0.295727623,0.2833318695,0.2638947166
235,0.715,0.37186195,0.3400342755,0.3487358326,0.3547608912,0.335947001,0.3191665922
245,0.754,0.480910267,0.4571261394,0.4631237698,0.4666834673,0.455408661,0.4293024693
255,0.759,0.5776807274,0.5660430759,0.5697031846,0.5700636761,0.5656812499,0.5337973812
265,0.779,0.6320593124,0.6460950018,0.6424010381,0.6401392943,0.6446871333,0.6088650755
275,0.724,0.5926558092,0.6165152094,0.6128427323,0.6120138315,0.6146243723,0.5774205469
285,0.773,0.661498161,0.6704030463,0.6685877421,0.6666888896,0.6710688785,0.6347151081
295,0.805,0.605671508,0.6031108457,0.6068771317,0.6090467809,0.6018875193,0.572839393
,,0.5477587003,0.5284545338,0.5324865293,0.5361978128,0.5274008032,0.531798353
aton_campus,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
41,0.636,0.633240036,0.6275218534,0.6258488074,0.6263544916,0.6272305888,0.6144808558
51,0.662,0.6874505895,0.6575918985,0.6582281814,0.6613013087,0.6565513981,0.64805874
61,0.683,0.7022965096,0.6626597838,0.6676191366,0.6723683503,0.6609035874,0.6582758439
71,0.642,0.670371587,0.6307118845,0.637226789,0.6411324964,0.6290772066,0.6269120818
81,0.685,0.6696802277,0.6275533577,0.6351182273,0.638435068,0.6256373681,0.6250156254
91,0.649,0.6826917169,0.6411448282,0.6483822862,0.6513851706,0.6392921757,0.6381458036
101,0.467,0.7315288954,0.6846220202,0.6952507422,0.6999321066,0.6822725133,0.6876444053
111,0.772,0.7571111666,0.709320471,0.7208817826,0.7252736095,0.7068186798,0.714224495
121,0.542,0.7096275165,0.6743997842,0.6815842745,0.6838869398,0.6727302083,0.6724949563
131,0.754,0.6598787143,0.620512916,0.6266606507,0.6278685745,0.6187046799,0.6142845735
141,0.724,0.6057742401,0.5874025646,0.5927506594,0.5951282799,0.5843613223,0.5766946171
151,0.766,0.5147051254,0.5014718198,0.5010923814,0.5028663381,0.5009844344,0.4855665348
271,0.852,0.7692899454,0.7565498302,0.7534148528,0.7530517422,0.755863612,0.7452786597
281,0.851,0.7439479832,0.7271246583,0.7221050807,0.720632427,0.7257578727,0.709058937
291,0.798,0.761637826,0.743317575,0.7406255323,0.7427544305,0.7423243661,0.7325899987
301,0.791,0.7411250278,0.7230867126,0.7173086579,0.7180142598,0.7220685821,0.708591674
311,0.806,0.7096627683,0.6939962385,0.6885297824,0.6905505069,0.6930871488,0.6788912348
321,0.84,0.7591112326,0.7402691619,0.7355861886,0.7386069872,0.7393715342,0.7267389045
331,0.826,0.730108202,0.718664434,0.7146123942,0.7165428242,0.7182050619,0.7044684433
341,0.748,0.6844626968,0.6741224611,0.6681321031,0.6695277821,0.6737318682,0.6561335363
351,0.777,0.7069735875,0.6867754519,0.6807073911,0.6853539853,0.6860592755,0.6695995125
361,0.743,0.6865774116,0.6683151774,0.6612226006,0.6641385127,0.6676280511,0.6496670456
371,0.779,0.68189567,0.6601357239,0.6547887979,0.6596001504,0.6593174746,0.6431529932
381,0.793,0.6999370057,0.681268522,0.6742269987,0.6777639213,0.6804248573,0.6633763201
391,0.753,0.6944733808,0.6716052036,0.6661115737,0.6711499483,0.6705963613,0.6554798112
401,0.692,0.6890089296,0.6724226042,0.6668489387,0.6715059865,0.6716548232,0.6556087327
411,0.769,0.6859086918,0.668002672,0.663777024,0.6674676278,0.6671559143,0.6523923226
421,0.759,0.6275809266,0.6109929858,0.6060202047,0.6084353477,0.6102882391,0.5930424263
1061,0.711,0.6714248306,0.6562239561,0.6495024811,0.6500767091,0.6555700509,0.637308011
1071,0.789,0.7598091359,0.7388634802,0.7341389285,0.737174998,0.7377405957,0.7246901949
1081,0.748,0.7239294893,0.7010951106,0.6976760411,0.7018676699,0.7000889113,0.6870632854
1091,0.798,0.737539274,0.7270347886,0.7265857735,0.7268868165,0.726401046,0.7167636687
1101,0.848,0.7613362975,0.7516479882,0.7481949796,0.7479151864,0.7510665145,0.7395738575
1111,0.784,0.722266762,0.6995844468,0.6948256335,0.6978074889,0.6980218062,0.6855654201
1121,0.79,0.7429034151,0.7310369027,0.7244801855,0.7247322114,0.7298843863,0.7160143776
1131,0.858,0.7309567493,0.7179163197,0.7132667618,0.7133227286,0.7172109102,0.7039626055
1141,0.85,0.7436713568,0.7346944773,0.7278920973,0.7254261879,0.7340688703,0.7195279896
1151,0.883,0.7797331753,0.7711527191,0.7657671455,0.7632364277,0.77058819,0.7579317558
,,0.3599691597,0.4828464391,0.4304907395,0.4163027706,0.486961905,0.4199883154
aton_hallway,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
25,0.627,0.5837030119,0.5465018417,0.5451849267,0.5530851087,0.5406720554,0.5247250441
151,0.712,0.5533330013,0.5192566322,0.5174296166,0.5198126595,0.5138640521,0.4945843019
164,0.81,0.661922886,0.629089079,0.6272502603,0.6303103648,0.6264094212,0.6136475209
175,0.516,0.5224933382,0.493043161,0.4906097298,0.4963518142,0.4863458405,0.4689661641
194,0.758,0.6750918125,0.6365331857,0.6300879603,0.6421700209,0.6292038683,0.6111050001
251,0.833,0.6822259669,0.6439730562,0.6456111355,0.6513809276,0.6343889566,0.6149607655
275,0.747,0.7447680048,0.7242807892,0.7275002364,0.7309246928,0.723343002,0.7083256598
431,0.702,0.6183756508,0.5613972054,0.5719318715,0.5835974112,0.5500852632,0.555305668
451,0.769,0.6596480118,0.6212993855,0.6160480517,0.6278488642,0.6160328715,0.5990534955
600,0.666,0.5619871867,0.5176331741,0.5091857102,0.519154194,0.511647659,0.4870446133
621,0.707,0.6486893232,0.6167851922,0.6224130956,0.6260839078,0.6147452803,0.609069038
1101,0.743,0.5379728109,0.4913377161,0.4880000781,0.4981270423,0.4843107532,0.4623764299
1151,0.731,0.5919716801,0.589386331,0.6073194136,0.6017535097,0.5900261972,0.5723901869
,,0.6561589554,0.6253115335,0.6174353175,0.622359453,0.6177818392,0.6014888237
aton_lab,,,,,,,
frame,coneR1*,HSV,HSP,HSI,HSL,Y',Norm
91,0.84,0.7867882517,0.7794779057,0.7775384687,0.7753320359,0.7779316354,0.7637377325
101,0.908,0.7602597047,0.7514559459,0.7488112621,0.748362956,0.7491422321,0.7324880421
151,0.667,0.58285248,0.5775039126,0.576821024,0.5755230065,0.5760468211,0.5542100567
161,0.626,0.5637232795,0.5567711726,0.5568021738,0.5554506371,0.5556636013,0.5342308411
221,0.892,0.6297546476,0.6432771109,0.6393044368,0.6514148731,0.6434095559,0.6205899328
231,0.76,0.7606818752,0.7547226772,0.7514502991,0.7492208104,0.7523661917,0.7333905378
281,0.724,0.6351061262,0.6246915585,0.6230646056,0.6197630026,0.6226843924,0.5992186189
291,0.695,0.5715984178,0.5641812602,0.5644455733,0.5641717113,0.5628475584,0.5396421094
301,0.656,0.5583036502,0.5532564676,0.5536025687,0.5531187601,0.5522482024,0.527098114
471,0.611,0.3338496875,0.3271683903,0.3281841244,0.330143051,0.3261833934,0.306822819
481,0.746,0.6065863142,0.6016629965,0.6017354049,0.6014277896,0.6002473019,0.5774072107
561,0.755,0.6581545347,0.651945732,0.6499203848,0.6488787375,0.6492452524,0.6205976355
681,0.656,0.6521923446,0.6509823323,0.6494729527,0.6491988886,0.6501781488,0.630886964
881,0.664,0.3734046287,0.3693048575,0.3644155503,0.3644381275,0.3676227308,0.3339712184
,,0.6954036581,0.709605239,0.7047840902,0.7174673715,0.7100507268,0.7078891946
